,2018,2019,2020,2021
1,0.005065540261785996,0.005030379177136856,0.005235485504256836,0.003867719311405318
2,0.005350345047444024,0.005653902411581592,0.004972949405543262,0.004204093687882084
3,0.005234313468101864,0.005716020327795072,0.004412716123466977,0.0045322638112740505
4,0.005672654990061134,0.005741805123204441,0.00023675130330420434,0.004187685181712485
5,0.005541386940704347,0.005174539624198327,0.0035887747065221466,0.004113846903949293
6,0.004473662003525484,0.0044244364850166895,0.0034504744402355323,0.004151352060908375
7,0.00448772643738514,0.004618994486741927,0.003554785658027979,0.003832558226756179
8,0.004228706447136481,0.0049331001762742376,0.003342647113978172,0.004133771518583805
9,0.004713929415294603,0.004720961632224431,0.003561817874957807,0.004179480928627686
10,0.005065540261785996,0.004951852754753778,0.003915772793759142,0.004548672317443649
11,0.0049694332970783486,0.004723305704534373,0.0038841278175749164,0.0045322638112740505
12,0.004640091137531411,0.004551016389753591,0.004109158759329407,0.004405683906537149
